prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Deutsch: ""Generation"" - 中文: ""代""
Deutsch: ""Version"" - 中文: ""版""
Deutsch: ""Geschwindigkeit"" - 中文: ""速""
Deutsch: ""Schule"" - 中文: ""校""
Deutsch: ""löschen"" - 中文: ""","[31916, 232]",删,"[316, 29881, 6144, 628, 311, 5217, 270, 8143, 7374]",delete,löschen
"Deutsch: ""Auge"" - 中文: ""目""
Deutsch: ""Kopf"" - 中文: ""头""
Deutsch: ""Fuß"" - 中文: ""足""
Deutsch: ""Linie"" - 中文: ""线""
Deutsch: ""Gruppe"" - 中文: ""","[31829, 234]",群,"[4071, 629, 29887, 2972, 17170, 867, 330, 2318]",group,Gruppe
"Deutsch: ""Haar"" - 中文: ""发""
Deutsch: ""Provinz"" - 中文: ""省""
Deutsch: ""Fuß"" - 中文: ""足""
Deutsch: ""Büro"" - 中文: ""局""
Deutsch: ""Talent"" - 中文: ""","[31979, 233]",才,"[11062, 29873, 941, 20411, 5969, 17694, 260, 24242]",talent,Talent
"Deutsch: ""tausend"" - 中文: ""千""
Deutsch: ""Freund"" - 中文: ""友""
Deutsch: ""Ozean"" - 中文: ""洋""
Deutsch: ""Feder"" - 中文: ""春""
Deutsch: ""Schönheit"" - 中文: ""","[30630, 234]",美,"[29890, 367, 6562, 15409, 915, 289]",beauty,Schönheit
"Deutsch: ""zwei"" - 中文: ""二""
Deutsch: ""Tür"" - 中文: ""门""
Deutsch: ""Art"" - 中文: ""种""
Deutsch: ""Gegenstand"" - 中文: ""项""
Deutsch: ""Plattform"" - 中文: ""","[31037, 232]",台,"[12120, 7481, 2174, 29886, 282, 18870, 13974, 715, 572]",platform,Plattform
"Deutsch: ""Sommer"" - 中文: ""夏""
Deutsch: ""Versuch"" - 中文: ""试""
Deutsch: ""Tee"" - 中文: ""茶""
Deutsch: ""Quadrat"" - 中文: ""方""
Deutsch: ""Haus"" - 中文: ""","[31654, 232]",屋,"[10774, 3699, 29882, 8697, 9261, 1251, 298, 5089]",house,Haus
"Deutsch: ""Rede"" - 中文: ""话""
Deutsch: ""Reis"" - 中文: ""米""
Deutsch: ""Berg"" - 中文: ""山""
Deutsch: ""Wort"" - 中文: ""字""
Deutsch: ""Sonne"" - 中文: ""","[31430, 236]",阳,"[269, 2146, 480, 11445, 29879, 6575]",sun,Sonne
"Deutsch: ""Sitz"" - 中文: ""座""
Deutsch: ""Schwanz"" - 中文: ""尾""
Deutsch: ""Richter"" - 中文: ""判""
Deutsch: ""Standort"" - 中文: ""址""
Deutsch: ""Geschichte"" - 中文: ""","[30911, 232]",史,"[9825, 18434, 4955, 2918, 670, 29882, 7251, 22880, 3603, 298, 16211]",history,Geschichte
"Deutsch: ""Sommer"" - 中文: ""夏""
Deutsch: ""Teich"" - 中文: ""池""
Deutsch: ""Abschnitt"" - 中文: ""段""
Deutsch: ""Bahnhof"" - 中文: ""站""
Deutsch: ""Tal"" - 中文: ""","[31112, 235]",谷,"[325, 28519, 791, 2947, 659, 19599, 29894, 1564, 22044]",valley,Tal
"Deutsch: ""Haushalt"" - 中文: ""户""
Deutsch: ""Feld"" - 中文: ""场""
Deutsch: ""Abschnitt"" - 中文: ""段""
Deutsch: ""Haar"" - 中文: ""发""
Deutsch: ""Quadrat"" - 中文: ""","[30525, 233]",方,"[3044, 10674, 18074, 269, 6862, 17619, 26613, 29879]",square,Quadrat
"Deutsch: ""Wort"" - 中文: ""字""
Deutsch: ""Brücke"" - 中文: ""桥""
Deutsch: ""Person"" - 中文: ""人""
Deutsch: ""Sommer"" - 中文: ""夏""
Deutsch: ""Generation"" - 中文: ""","[30690, 231]",代,"[29887, 4738, 330, 479, 1176, 1737, 18530, 1885, 12623, 2531]",generation,Generation
"Deutsch: ""Norden"" - 中文: ""北""
Deutsch: ""Freund"" - 中文: ""友""
Deutsch: ""Zeit"" - 中文: ""时""
Deutsch: ""Person"" - 中文: ""人""
Deutsch: ""Süden"" - 中文: ""","[30601, 232]",南,"[577, 269, 7062, 13267, 3669, 578, 29879]",south,Süden
"Deutsch: ""Schönheit"" - 中文: ""美""
Deutsch: ""Wort"" - 中文: ""字""
Deutsch: ""Dorf"" - 中文: ""村""
Deutsch: ""See"" - 中文: ""湖""
Deutsch: ""Tugend"" - 中文: ""","[31169, 232]",德,"[27935, 325, 29894, 2405, 3516, 1403, 10636, 4610, 15389]",virtue,Tugend
"Deutsch: ""Reis"" - 中文: ""米""
Deutsch: ""Sitz"" - 中文: ""座""
Deutsch: ""Mitte"" - 中文: ""中""
Deutsch: ""acht"" - 中文: ""八""
Deutsch: ""Stamm"" - 中文: ""","[30999, 233]",族,"[509, 29873, 534, 9434, 260, 3367, 29563, 3626]",tribe,Stamm
"Deutsch: ""sieben"" - 中文: ""七""
Deutsch: ""Mond"" - 中文: ""月""
Deutsch: ""Börse"" - 中文: ""交""
Deutsch: ""Geschichte"" - 中文: ""史""
Deutsch: ""Stadt"" - 中文: ""","[30626, 232]",城,"[29883, 455, 12690, 7537, 274, 20752, 4272, 4583]",city,Stadt
"Deutsch: ""Mutter"" - 中文: ""母""
Deutsch: ""Abschnitt"" - 中文: ""段""
Deutsch: ""Macht"" - 中文: ""力""
Deutsch: ""Holz"" - 中文: ""木""
Deutsch: ""Sprache"" - 中文: ""","[31505, 235]",语,"[433, 3893, 6468, 10906, 29880, 6361, 11675, 301, 4086, 425]",language,Sprache
"Deutsch: ""Haushalt"" - 中文: ""户""
Deutsch: ""Gruppe"" - 中文: ""群""
Deutsch: ""fünf"" - 中文: ""五""
Deutsch: ""sieben"" - 中文: ""七""
Deutsch: ""Geschwindigkeit"" - 中文: ""","[31859, 236]",速,"[5965, 269, 6210, 19322, 1028, 805, 961, 29879]",speed,Geschwindigkeit
"Deutsch: ""Wolke"" - 中文: ""云""
Deutsch: ""Freund"" - 中文: ""友""
Deutsch: ""Talent"" - 中文: ""才""
Deutsch: ""Schwanz"" - 中文: ""尾""
Deutsch: ""Boden"" - 中文: ""","[30533, 232]",地,"[4071, 629, 29887, 2057, 5962, 867, 330, 17170]",ground,Boden
"Deutsch: ""Generation"" - 中文: ""代""
Deutsch: ""Linie"" - 中文: ""线""
Deutsch: ""Gesetz"" - 中文: ""法""
Deutsch: ""Schwanz"" - 中文: ""尾""
Deutsch: ""Versuch"" - 中文: ""","[31787, 235]",试,"[271, 263, 29874, 472, 15127, 21609, 1131, 1098, 4218]",attempt,Versuch
"Deutsch: ""Ball"" - 中文: ""球""
Deutsch: ""Fluss"" - 中文: ""河""
Deutsch: ""Tal"" - 中文: ""谷""
Deutsch: ""Mond"" - 中文: ""月""
Deutsch: ""Niederlage"" - 中文: ""","[31955, 235]",败,"[316, 29881, 8686, 20653, 270, 822, 1753, 311]",defeat,Niederlage
"Deutsch: ""Versuch"" - 中文: ""试""
Deutsch: ""Turm"" - 中文: ""塔""
Deutsch: ""Netz"" - 中文: ""网""
Deutsch: ""Macht"" - 中文: ""力""
Deutsch: ""Schwanz"" - 中文: ""","[31631, 232]",尾,"[11062, 29873, 941, 12464, 260, 18237]",tail,Schwanz
"Deutsch: ""Generation"" - 中文: ""代""
Deutsch: ""Anstieg"" - 中文: ""起""
Deutsch: ""Turm"" - 中文: ""塔""
Deutsch: ""Tal"" - 中文: ""谷""
Deutsch: ""Mutter"" - 中文: ""","[31763, 233]",母,"[286, 3184, 2730, 5637, 25550, 4346, 29885, 14817]",mother,Mutter
"Deutsch: ""Talent"" - 中文: ""才""
Deutsch: ""See"" - 中文: ""湖""
Deutsch: ""Dorf"" - 中文: ""村""
Deutsch: ""Macht"" - 中文: ""力""
Deutsch: ""Osten"" - 中文: ""","[30979, 231]",东,"[11248, 321, 23027, 29872, 9755, 2240]",east,Osten
"Deutsch: ""Haar"" - 中文: ""发""
Deutsch: ""Tag"" - 中文: ""日""
Deutsch: ""Pferd"" - 中文: ""马""
Deutsch: ""sieben"" - 中文: ""七""
Deutsch: ""Rede"" - 中文: ""","[31852, 235]",话,"[5965, 29879, 269, 1028, 805, 12032, 961]",speech,Rede
"Deutsch: ""eins"" - 中文: ""一""
Deutsch: ""Höhle"" - 中文: ""洞""
Deutsch: ""Abschnitt"" - 中文: ""段""
Deutsch: ""Tee"" - 中文: ""茶""
Deutsch: ""Kind"" - 中文: ""","[30319, 232]",子,"[29883, 521, 305, 18558, 4161, 274, 5145, 2278]",child,Kind
"Deutsch: ""Stern"" - 中文: ""星""
Deutsch: ""Mitte"" - 中文: ""中""
Deutsch: ""links"" - 中文: ""左""
Deutsch: ""See"" - 中文: ""湖""
Deutsch: ""Turm"" - 中文: ""","[31831, 232]",塔,"[29873, 304, 19372, 260, 517]",tower,Turm
"Deutsch: ""Schule"" - 中文: ""校""
Deutsch: ""Art"" - 中文: ""种""
Deutsch: ""Quadrat"" - 中文: ""方""
Deutsch: ""Feder"" - 中文: ""春""
Deutsch: ""Haar"" - 中文: ""","[30910, 232]",发,"[23535, 447, 11315, 29882, 2350, 298]",hair,Haar
"Deutsch: ""Brücke"" - 中文: ""桥""
Deutsch: ""Wald"" - 中文: ""林""
Deutsch: ""Gemälde"" - 中文: ""画""
Deutsch: ""Anstieg"" - 中文: ""起""
Deutsch: ""Haushalt"" - 中文: ""","[31229, 233]",户,"[10774, 3699, 29882, 22329, 8697, 9261, 1251, 298, 5089]",household,Haushalt
"Deutsch: ""Börse"" - 中文: ""交""
Deutsch: ""Gesetz"" - 中文: ""法""
Deutsch: ""Süden"" - 中文: ""南""
Deutsch: ""Gesicht"" - 中文: ""面""
Deutsch: ""Person"" - 中文: ""","[30313, 231]",人,"[10532, 6774, 29886, 282, 2022, 546, 3736, 639, 412, 1236]",person,Person
"Deutsch: ""Dorf"" - 中文: ""村""
Deutsch: ""Tal"" - 中文: ""谷""
Deutsch: ""eins"" - 中文: ""一""
Deutsch: ""Buch"" - 中文: ""书""
Deutsch: ""Abschnitt"" - 中文: ""","[31559, 233]",段,"[21149, 2042, 8803, 269, 4004, 344, 5226, 3471, 409, 29879]",section,Abschnitt
"Deutsch: ""Quelle"" - 中文: ""源""
Deutsch: ""Standort"" - 中文: ""址""
Deutsch: ""Turm"" - 中文: ""塔""
Deutsch: ""Meer"" - 中文: ""海""
Deutsch: ""Büro"" - 中文: ""","[31655, 232]",局,"[1283, 29877, 20205, 310, 974, 3344, 8034, 288, 2696]",office,Büro
"Deutsch: ""Ozean"" - 中文: ""洋""
Deutsch: ""zehn"" - 中文: ""十""
Deutsch: ""Stadt"" - 中文: ""城""
Deutsch: ""Tee"" - 中文: ""茶""
Deutsch: ""Anstieg"" - 中文: ""","[31558, 235]",起,"[364, 14451, 10107, 374, 5161, 3780, 29878]",rise,Anstieg
"Deutsch: ""Ozean"" - 中文: ""洋""
Deutsch: ""Teil"" - 中文: ""部""
Deutsch: ""fünf"" - 中文: ""五""
Deutsch: ""Feuer"" - 中文: ""火""
Deutsch: ""links"" - 中文: ""","[31651, 232]",左,"[454, 25874, 29880, 280, 2175, 301, 1563]",left,links
"Deutsch: ""Sand"" - 中文: ""沙""
Deutsch: ""Netz"" - 中文: ""网""
Deutsch: ""Geschichte"" - 中文: ""史""
Deutsch: ""Boden"" - 中文: ""地""
Deutsch: ""Macht"" - 中文: ""","[31074, 232]",力,"[4764, 772, 29886, 282, 13519, 12248, 1129, 3081]",power,Macht
"Deutsch: ""Farbe"" - 中文: ""色""
Deutsch: ""Feld"" - 中文: ""场""
Deutsch: ""Plattform"" - 中文: ""台""
Deutsch: ""See"" - 中文: ""湖""
Deutsch: ""Sommer"" - 中文: ""","[31241, 232]",夏,"[11801, 269, 2083, 2146, 2533, 22792, 480, 29879]",summer,Sommer
